Topic 1 coronavirus spread: What were people saying about the spread of the novel coronavirus NCOV-19 in Wuhan at the end of 2019?
0: It started.  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.
6:  Sat down and had the chance to interview Jamie liner. She's a good friend of mine and colleague from work and wanted to talk to her a little bit more about her story and one of the highlights, I won't steal her Thunder before we dive in but she did things a little bit different than I did and that's really one of the cool things and one of the reasons I wanted to talk to her. Not just because she has Michelle Obama arms, but I will say if you take a look she definitely has better arms that Michelle Obama not creepy. It's  True. Anyways, I really wanted to bring Jamie on to talk to her more about the ways in which she navigated her life when she came to Charlotte. It's definitely a unique story and completely different and new and it was really exciting to sit down and talk to her talk to her. So without further Ado. Let's hear a little bit more from Jamie.
7:  I am proud to be a woman girls and women are powerful Beauty badass feminine passion and policy power professional diligence advocates for change. Hey everybody, welcome back to the she is podcast. This is episode one and I'm really excited to have you all here listening today. I wanted to give you a brief introduction of our guests on the episode today. I saw  Sat down and had the chance to interview Jamie liner. She's a good friend of mine and colleague from work and wanted to talk to her a little bit more about her story and one of the highlights, I won't steal her Thunder before we dive in but she did things a little bit different than I did and that's really one of the cool things and one of the reasons I wanted to talk to her. Not just because she has Michelle Obama arms, but I will say if you take a look she definitely has better arms that Michelle Obama not creepy. It's
8:  Not become president disagree with you would be famous, but she would be successful. She would have a following the no definitely not but yeah, she's a lawyer she be successful, but she wouldn't have 50 million shape. She is what she is today because Obama became president. Yeah, Michelle Obama, you can say the same about most of the the only the only one I respect though is I don't respect from the windows wife. She skimmed off on him. No. No, but she helped build Amazon though. She took like she helped build Amazon.  60 billion, but she hoped she has cheated on her. I mean we did it.
9:  You said what I said, you know, I'm not really into light-skinned man, but I think he actually is attractive. So how Chris is cute. Yeah.  All right, good, you'll turn okay I'm going to do okay. This one should make you have to thank mmm. I bet said Michelle Obama Barack Obama or Michael girl. They don't know I'm thinking about shit because I'm going stir it up a little since I was like four years old. So Michael you can get all of this mash and I'm sorry Obama Obama. I'm sorry.
 
Topic 7 anna delvey: Anna Sorokina moved to New York City in 2013 and posed as wealthy German heiress Anna Delvey.  In 2019 she was convicted of grand larceny, theft, and fraud.  What were people saying about her, the charges, her trial, and New York socialite society in general?
0:  William borrows the virus family also knew the Carr family from back in st. Louis as they were both fairly high up in society and we're quite wealthy the state at the Chicago University was short however, which is where he ended up as car in a suicide attempt that he deemed a work of art was found with his head in an oven has landed him in the psychiatric ward at the Cook County Hospital for two weeks and then was by his mother moved to New York.  York and enrolled into Columbia to be closer to her at all times and also a way of getting him away from Kramer which unfortunately didn't last very long because it wasn't long before Kramer packed up quit his job and moved to New York to follow car borrows also moved to New York as well and remained friends with Kramer. It was a Columbia where Carl would be friends Allen Ginsberg and Jack Kerouac to fairly famous names. Hopefully anybody who listens to this recognizes them Allen Ginsberg.
1:  History World War 2 with Ray Harris, jr. Sure and he interviews an author by the name of Robin Hutton about her book animals of War. So Story begins prior to World War Two. Yes. United States military did not have a dog program anything like we always think of like we see, you know, German Shepherds or Belgian Malinois sore, you know like Rottweilers. Yeah. Yep in the military. So yeah actually  Prior to that they didn't but shortly after Pearl Harbor the attack on Pearl Harbor December 7th, 1941 a poodle breeder and New York socialite was like her name was Arlene Erlanger. Thanks. Yeah, no to say so she got together with a bunch of her friends. And one of them was like a writer for the New York sun and a couple people in the American Kennel society and they formed this group called dogs for defense and they were like
2:  virgin story  My question is how and why did you move to New York? Because New York so hard place remember to and and like I want to know like, where do you live? How did you pay your rent like that kind of stuff? I had like one of the worst mood in New York stories. I moved here after college first. I'd always wanted to live here. I knew this is where as well if I came here as a ten-year-old and I was like, this is my place where you from home, I grew up in Pittsburgh College in the midwest went to college in Indiana. I got a degree in marketing and advertising. I moved to New York City the week of the market crash in 2008. So I'm sending out.
3:  My question is how and why did you move to New York? Because New York so hard place remember to and and like I want to know like, where do you live? How did you pay your rent like that kind of stuff? I had like one of the worst mood in New York stories. I moved here after college first. I'd always wanted to live here. I knew this is where as well if I came here as a ten-year-old and I was like, this is my place where you from home, I grew up in Pittsburgh College in the midwest went to college in Indiana. I got a degree in marketing and advertising. I moved to New York City the week of the market crash in 2008. So I'm sending out.  Hundreds of resumes and people are laying off their entire advertising division in droves. People are like dissolving their companies. Nobody is paying I mean marketing PR advertising is a luxury if people are just completely decimating their entire divisions that do those things and I was like fuck I moved to New York $5,000. I thought I was a millionaire. I saw that sounds like a pretty rich moves. Yeah. I was like this hot little thing with like TT Ted some like I'm gonna get a hundred jobs and 4 seconds and
4:  But there are ways to find actual real apartments in real opportunities for housing in these groups. So I wouldn't neglect them at all. So once I found my sublet I kind of just packed up my clothes put them on the train and unpacked when I got to New York and then I slowly moved all my stuff from there. I wasn't ready to fully commit to Bringing like my furniture and buying a bed and things like that yet because I was waiting to move into my first own rented apartment with my three best.  Friends from college. So I sublet the apartment then all my friends my three best friends moved to New York and we got an apartment together and I would say we were probably settled in our apartment by August now, so that's kind of the logistics of moving to New York. It wasn't super hard. It wasn't super difficult for me because I ordered all new furniture and I really just had to move my clothes from Philly to New York City, but the hard part came in with the emotional part of it for me. It was really
5:  So that is what I will do today. I will simply talk about New York State not even New York City that probably deserves its own podcast, New York City such a big city.  But I will do New York State and have New York City only a small part of this podcast.
6:  Images big Champion, so obviously so you would cap. How come you just added to The Fray for New York, right Champion CD Junior Champion Rico Suave Champion me Champion Sanford Champion. Justin want Champion Chris G champy. We got seven fucking killer. So that represents New York City that actually got a big win. You don't say in terms of like a world championship. So I like that I appreciate that because you know what, we got. We got fucking, you know, if we if we had like a like a stadium  Mm. That was just wealthy. Sorry. Oh, how about shit the bed is on top? Yeah. Just Takin a shit shooting the shit in the Banners are just be up there bro. All the killers that actually one big tournaments in New York City. You know I'm saying which is dope. I mean East Coast in general, you know, I really ride with my coats whether we whack it would be good. I ride out with and I'm saying what I don't write I was with the next but that's that's that's a whole nother story. But um,
7:  Prior to that they didn't but shortly after Pearl Harbor the attack on Pearl Harbor December 7th, 1941 a poodle breeder and New York socialite was like her name was Arlene Erlanger. Thanks. Yeah, no to say so she got together with a bunch of her friends. And one of them was like a writer for the New York sun and a couple people in the American Kennel society and they formed this group called dogs for defense and they were like  is this like a request or something or they just came up with this idea on their own? No, they just can't so what? Yeah, but I mean it was like you got a manager. So like Pearl Harbor it's a very it's like a very patriotic time, you know, everybody is like, oh my gosh, we look at America has just been attacked even though you know Hawaii wasn't actually a state at the time. So they they formed a group dogs for defense and they convinced literally convince the military to create a dog program. Wow.
8:  And we're back talking about the state of New York not New York City the state of New York. The state of New York is the fourth most populous state.  So lot of people live in New York, and of course New York City is the United States biggest city with approximately 8 million people.
9:  I'm since written 12 books 12 this my 12 book and was the first book you wrote It's called The Streets were paved with gold. Okay, and it was about what happened to New York City Fisk, not only fiscal crisis, but the Flight of the middle class the working class the race, you know polarization and I'm aware of that book. How did it do early on from a successful standpoint. It was not a best seller or some of the other books were but it's a book on proud of it was did it  You on the map from a quality standpoint and the circles you cared about. Well, actually, you know part of it some of it ran on the New York Magazine. This is before the New Yorker in like 75 and I did a piece should the people who hid budget deficits in New York City like the mayor of New York both Lindsay and beam governor. Governor Rockefeller Walter wriston the head of Citibank some of the union leaders. Did they commit fraud right there for a crime?
 
Topic 8 facebook stock prediction: After Facebook’s Q4 2018 earnings call, what were experts’ predictions and expectations for its stock price in 2019?  How did these predictions fare over time?  Relevant material would include predictions immediately following the Jan 29, 2019, earnings call, and later actual stock performance that could be used to evaluate predictions.
0:  We're there again and just get used to it and get ready for that next level one of these days. I'm not going to say what some of these Peach so many newbies are like Adam. Can we have your price prediction for the end of the year? No one Bitcoin equals one big boy. That's not what this show is about that fancy since your grandpa's go over to the bikini babes Channel or whatever go ask a little kid on the street what he thinks the darn price is going to be at the end of the year. That's as good as anybody else's price prediction. I want to have my nephew on and on the show and get price prediction.  Options he's five years old. It's the same. It's just as good as those YouTubers to make price predicted these ridiculous. It's for digging and then you guys need that kind of validation. You're going to lose your Bitcoin. If you need validation for me to tell you my Christ prediction is predict one Bitcoin equals one Bitcoin. It's gonna be worth a lot more after 2020 having I don't need to give you a specific 8 8 8 8 8 red bot nonsense that you gamblers. It's such a description. You haven't learned anything yet. I mean, those are newbies they ask me those questions, but if you
1:  Okay, that's that's understandable. Hey, you got people getting used to the 5-digit thing. I remember when it was the transition from three digits to four digits you at first when he got to you know in 2013 when it first got the four digits. Oh my God, and then people thought it will never get there again. It'll never get there again lo and behold it got there again. Same thing. We got to 5 digits back in 2017, and then we've had that we had the bear market. So if it will never get there get we'll never get there again and now we're there again.  We're there again and just get used to it and get ready for that next level one of these days. I'm not going to say what some of these Peach so many newbies are like Adam. Can we have your price prediction for the end of the year? No one Bitcoin equals one big boy. That's not what this show is about that fancy since your grandpa's go over to the bikini babes Channel or whatever go ask a little kid on the street what he thinks the darn price is going to be at the end of the year. That's as good as anybody else's price prediction. I want to have my nephew on and on the show and get price prediction.
2:  Stu they're basically going to destroy the entire restaurant industry take everything down with them. Yeah, one of their the canary in the coalmine. They start take it down. If there's like a domino effect. They take down the entire food industrial complex door - they're like you inside mole. Hmm. That's a conspiracy theory but whatever. Okay our 2020 predictions that that's my prediction. All right Netflix stock declines 20% Hmm. If I had a gun to my head, I would say yes, just because in the  Short run the margin pressure is going to be there and the cash flow pressure is going to be there the debt loads going to get larger, but I wouldn't be surprised either way. It's kind of tough your stock year-long. Stock predictions are really tough in my eyes. So I won't be surprised either way, dude. Do typically invest with a gun to your head. No, but the Holly by was yeah. All right. The thing is like you have to make a choice on this in investing. I make a choice to just not care whether what happens to Netflix.
3:  And that they will continue easy monetary policies, which the stock market likes. So the stock market after that kind of exploded upward and then Apple earnings yesterday exceeded expectations on price, even though the top and bottom line results were both below expectations. So you never can tell how the earnings report will impact the stock price. So anyway, so today we're talking about Facebook now Facebook. Well, I was looking at my phone. So this where I was  That I was looking at my phone. That's why I saw at the NASDAQ was up again. And I was like that's strange why is it up again? And then I saw that Facebook had their earnings and they have well exceeded their expectations for earnings. Now Facebook's earnings are pretty interesting just a couple of quarters ago Facebook Drop Like 25% after earnings. It was a huge huge massive Cliff that they jumped off of today. They're trying to do the opposite. It is up Seventeen dollars in
4:  On February 26 1933 Clairvoyant Erik, Jan hanussen held a party to celebrate the completion of his lavish new apartment one of several. He had throughout the city. The next day's papers were full of stories about the parties revelries, including a newson's odd prediction that a great house would be destroyed by fire less than a month after that prediction and Newson would be dead and many point to his prediction of a house in Flames as  Reason he was murdered.
5:  The predictions that have a theme song. I thought you said music in the background. No, we need a we need to hold theme song for this K. Let me do the predictions of tip. So I'll do a verse and universe and then we'll sing A Chorus together. Okay, it's gonna be a locked. All right. Let's hear the song out there in the darkness walk in on your own look around. You might find your in the prediction Zone.  On predictions own predictions own. What are they gonna predict in the prediction Zone? And then we will see this in the chorus. There's no bread bread in the butter Zone. Yeah, there's never
6:  Hey there, Tim and Traders and welcome back to the how to trade stocks and options podcast where we give you the tools tips and tricks to help you trade faster and trade smarter. I'm your host Chris for you'll photo on the top 100 people in finance for 2019. And today we're going to be focusing on Facebook earnings now Facebook. Actually, I was looking at my phone this morning and I saw at the NASDAQ was up again after two trail yesterday with apple and the fed the FED essentially saying that they are going to be holding rates steady.  And that they will continue easy monetary policies, which the stock market likes. So the stock market after that kind of exploded upward and then Apple earnings yesterday exceeded expectations on price, even though the top and bottom line results were both below expectations. So you never can tell how the earnings report will impact the stock price. So anyway, so today we're talking about Facebook now Facebook. Well, I was looking at my phone. So this where I was
7:  He wanted to congratulate you on some predictions or one prediction at least. Oh boy. Yeah, so here's the great thing about bad prediction of the day and I you know, I saw this coming when I said this or started this at the last episode that you can make fun of me no matter what happens. It's great because I made two predictions one of which was of course didn't come true.  Which you know as expected, it's the bad prediction of the day one of your bad predictions came very not true. Very very true. Actually, wait, one of them one of them came very not true. The other came very true. Yes. Yes. Okay. Yeah, we were see this is the thing. It's confusing. You can make fun of me know however you want and it right and we will write.
8:  Okay. Bye.  He wanted to congratulate you on some predictions or one prediction at least. Oh boy. Yeah, so here's the great thing about bad prediction of the day and I you know, I saw this coming when I said this or started this at the last episode that you can make fun of me no matter what happens. It's great because I made two predictions one of which was of course didn't come true.
9:  Another piece of news from last week was Apples announcement of its Q2 results on Tuesday overall earnings beat expectations, but iPhone sales disappointed 2q earnings per share came in at two dollars and 18 cents, which was down 7% year-over-year, but did actually Beat the Street expectation of two dollars and ten cents per share by eight cents strong services and wearables revenue help drive to cue out performance against a declining iPhone Revenue.  New iPhone sales make up less than half of Apple cells. And this is the first time that is come to down to this level since 2012.
 
