Topic 1 coronavirus spread: What were people saying about the spread of the novel coronavirus NCOV-19 in Wuhan at the end of 2019?
0: It started.  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.
8:  Off the girls. I should come up with a couple of dudes in a week. She's at home because they people around us. We just want them to be doing something in their life. Otherwise, they're just dragging you down. Yeah, like it's not just the girls. I mean, I don't think they're dragging you down unless you let them well, I got friends that I got friends that aren't really following a like, you know a good like they're not if I get into a relationship right now. I don't want my future to be the only future from both of us as I was saying because it has to work both ways. I mean like yeah, we each had to pull our weight. Yes, I'm saying pull your weight. I mean obviously  Like Goldman and Sachs and we'll just leave it. There we go. We'll just leave it there but show me you can we get into this mess? Aw. It's a bit controversial as hell. Michelle. Obama would not be famous if Obama.
9:  Jen has Dominique. So I think that's the best thing for her is to just like she did walk away and say Deuces ladies. I don't know if she'll be back. I don't know. Maybe they'll bring like maybe she'll be friends with OG. Maybe she'll bring back, you know some new cast members that she can talk to next season. I'm not sure but yeah, Jin is out of that scene. So she walks away and Malaysia said  Is Jim put out the word that they were good and they were not because of the photos and Jan is in the confessional like girl. Who are you? You're not Michelle Obama, you're not that important and I feel like gin definitely wanted support and showing that you know people were at her event. I don't necessarily feel like it had to be, you know, the ladies it could have been it could have been
 
Topic 7 anna delvey: Anna Sorokina moved to New York City in 2013 and posed as wealthy German heiress Anna Delvey.  In 2019 she was convicted of grand larceny, theft, and fraud.  What were people saying about her, the charges, her trial, and New York socialite society in general?
0:  virgin story  My question is how and why did you move to New York? Because New York so hard place remember to and and like I want to know like, where do you live? How did you pay your rent like that kind of stuff? I had like one of the worst mood in New York stories. I moved here after college first. I'd always wanted to live here. I knew this is where as well if I came here as a ten-year-old and I was like, this is my place where you from home, I grew up in Pittsburgh College in the midwest went to college in Indiana. I got a degree in marketing and advertising. I moved to New York City the week of the market crash in 2008. So I'm sending out.
1:  My question is how and why did you move to New York? Because New York so hard place remember to and and like I want to know like, where do you live? How did you pay your rent like that kind of stuff? I had like one of the worst mood in New York stories. I moved here after college first. I'd always wanted to live here. I knew this is where as well if I came here as a ten-year-old and I was like, this is my place where you from home, I grew up in Pittsburgh College in the midwest went to college in Indiana. I got a degree in marketing and advertising. I moved to New York City the week of the market crash in 2008. So I'm sending out.  Hundreds of resumes and people are laying off their entire advertising division in droves. People are like dissolving their companies. Nobody is paying I mean marketing PR advertising is a luxury if people are just completely decimating their entire divisions that do those things and I was like fuck I moved to New York $5,000. I thought I was a millionaire. I saw that sounds like a pretty rich moves. Yeah. I was like this hot little thing with like TT Ted some like I'm gonna get a hundred jobs and 4 seconds and
2:  But there are ways to find actual real apartments in real opportunities for housing in these groups. So I wouldn't neglect them at all. So once I found my sublet I kind of just packed up my clothes put them on the train and unpacked when I got to New York and then I slowly moved all my stuff from there. I wasn't ready to fully commit to Bringing like my furniture and buying a bed and things like that yet because I was waiting to move into my first own rented apartment with my three best.  Friends from college. So I sublet the apartment then all my friends my three best friends moved to New York and we got an apartment together and I would say we were probably settled in our apartment by August now, so that's kind of the logistics of moving to New York. It wasn't super hard. It wasn't super difficult for me because I ordered all new furniture and I really just had to move my clothes from Philly to New York City, but the hard part came in with the emotional part of it for me. It was really
3:  On September 21st 2001 Anna arrived at her office and started work as usual, but at 10:15 a.m. She got a call from a supervisor saying that there was a problem with one of her subordinates. He didn't have time to deal with it. So he needed Anna to come down to the office and take care of it for him. Anna readily complied when she reached the office. However, she didn't find a beleaguered colleague.  Said she found two members of Scott Carmichael's investigative team. She was under arrest like always Anna kept her cool. She claimed her right to remain silent and asked for legal counsel a female officer searched her and then the team led her out of the building in handcuffs. Anna was so quiet that most of her colleagues didn't even look up as she went by
4:  So that is what I will do today. I will simply talk about New York State not even New York City that probably deserves its own podcast, New York City such a big city.  But I will do New York State and have New York City only a small part of this podcast.
5:  Friends from college. So I sublet the apartment then all my friends my three best friends moved to New York and we got an apartment together and I would say we were probably settled in our apartment by August now, so that's kind of the logistics of moving to New York. It wasn't super hard. It wasn't super difficult for me because I ordered all new furniture and I really just had to move my clothes from Philly to New York City, but the hard part came in with the emotional part of it for me. It was really  really hard to wrap my head around not being in college anymore. It was super hard for me to think that like this was going to be my life for the rest of my life waking up every day and going to work and not experiencing new people every single day and having to really put myself out there in order to meet people. It was kind of like a wave of shock like because when you're in college new people and new experiences are constantly thrown at you every single
6:  And we're back talking about the state of New York not New York City the state of New York. The state of New York is the fourth most populous state.  So lot of people live in New York, and of course New York City is the United States biggest city with approximately 8 million people.
7:  Apart given these qualities and her past Behavior. It's not surprising that on a decided to stay. She later said she didn't want to give up on the people. She was helping but chances are she couldn't bear to think they might be. Alright without her.  On September 21st 2001 Anna arrived at her office and started work as usual, but at 10:15 a.m. She got a call from a supervisor saying that there was a problem with one of her subordinates. He didn't have time to deal with it. So he needed Anna to come down to the office and take care of it for him. Anna readily complied when she reached the office. However, she didn't find a beleaguered colleague.
8:  So New York state has so much information that I feel it deserves its own podcast.  So that is what I will do today. I will simply talk about New York State not even New York City that probably deserves its own podcast, New York City such a big city.
9:  At night. Oh, no, but it's I mean, it's like what? I'm sure what I'm getting at is my mom would bring it into work when I think onto my first Broadway show and I was six so like I my parents just I think we didn't want me to be like a small town girl. So I was coming to New York and seeing shows and spending two grand a day trips and overnight trips with my with my family at a young age. I knew I always want to live here, you know, you seen all the movies, you know, you have that dream of like I'm going to work in advertising in New York City, you know, so and I made an odd choice. I went to school at Clemson and the South and then I after graduation was like well do their New York or Atlanta?  I had more friends in Atlanta. I thought New York will be too hard and too difficult and too expensive. So moved to Atlanta and then just over stayed. I stayed there for eleven years and I always knew still New York was the goal. But at that point once I was out of my like early 20s, I was like I need to make enough money to like live alone and live how I'm living in Atlanta somewhat, you know in New York, so I hit that point and like 2015. I had a boyfriend at the time. It was kind of a back-and-forth toxic relationship, but I had
 
Topic 8 facebook stock prediction: After Facebook’s Q4 2018 earnings call, what were experts’ predictions and expectations for its stock price in 2019?  How did these predictions fare over time?  Relevant material would include predictions immediately following the Jan 29, 2019, earnings call, and later actual stock performance that could be used to evaluate predictions.
0:  Does of course and how does that impact the stock to flow model and maybe your prediction so I did the analysis I implemented for different ways of adjusting for lost coins. The original way was to just ignore the first million coins so-called Satoshi coins. We don't know of course if those were still she coins, but that's that's the narrative and well those coins haven't moved. So so let's let's  do as if they are lost. So that's one approach then I did the no adjustment approach. So in leave those 1 million in there, I did a gradual loss scenario. So we're sort of about 4 million lost coins rattle around around now 2019. So that's about what is it 30-something percent.
1:  Great to get feedback and especially from guys like like juror who are in the space for almost from the beginning. So and that's also why I put everything on Twitter and GitHub to get the feedback to learn. So yeah, I appreciate his for concerns very much and let's go through them. Yeah the Lost coins. That is a question. That's asked more. How does that impact the the stock?  Does of course and how does that impact the stock to flow model and maybe your prediction so I did the analysis I implemented for different ways of adjusting for lost coins. The original way was to just ignore the first million coins so-called Satoshi coins. We don't know of course if those were still she coins, but that's that's the narrative and well those coins haven't moved. So so let's let's
2:  One of the quotes are I guess two of the quotes that I had highlighted here and I'm looking at chapter 7 a reactive Trader is looking for confirmation and a predictive Trader is just guessing and then the next paragraph over Steve says the bottom line is that if you want to be a successful Trader, there must be a reason for everything you do based on price action and charts and really that's all you need to know don't just willy-nilly buy stocks. Don't just sell options. Don't just buy options. You have to have an actual.  Or reason as to why and then a reason as to why you're going to get out. Hey, this is a very controversial podcast. You're going to have Curtis. I can't wait process Quantified not I mean that's they never get past the predictions or the opinions are the that's the biggest problem of predicting is the future doesn't exist. And to think that you can figure out what every single person every single Trader an investor in every news source and every politician and and the Federal Reserve and other country. I mean II think that you can you know,
3:  Another piece of news from last week was Apples announcement of its Q2 results on Tuesday overall earnings beat expectations, but iPhone sales disappointed 2q earnings per share came in at two dollars and 18 cents, which was down 7% year-over-year, but did actually Beat the Street expectation of two dollars and ten cents per share by eight cents strong services and wearables revenue help drive to cue out performance against a declining iPhone Revenue.  New iPhone sales make up less than half of Apple cells. And this is the first time that is come to down to this level since 2012.
4:  And that they will continue easy monetary policies, which the stock market likes. So the stock market after that kind of exploded upward and then Apple earnings yesterday exceeded expectations on price, even though the top and bottom line results were both below expectations. So you never can tell how the earnings report will impact the stock price. So anyway, so today we're talking about Facebook now Facebook. Well, I was looking at my phone. So this where I was  That I was looking at my phone. That's why I saw at the NASDAQ was up again. And I was like that's strange why is it up again? And then I saw that Facebook had their earnings and they have well exceeded their expectations for earnings. Now Facebook's earnings are pretty interesting just a couple of quarters ago Facebook Drop Like 25% after earnings. It was a huge huge massive Cliff that they jumped off of today. They're trying to do the opposite. It is up Seventeen dollars in
5:  Hey there, Tim and Traders and welcome back to the how to trade stocks and options podcast where we give you the tools tips and tricks to help you trade faster and trade smarter. I'm your host Chris for you'll photo on the top 100 people in finance for 2019. And today we're going to be focusing on Facebook earnings now Facebook. Actually, I was looking at my phone this morning and I saw at the NASDAQ was up again after two trail yesterday with apple and the fed the FED essentially saying that they are going to be holding rates steady.  And that they will continue easy monetary policies, which the stock market likes. So the stock market after that kind of exploded upward and then Apple earnings yesterday exceeded expectations on price, even though the top and bottom line results were both below expectations. So you never can tell how the earnings report will impact the stock price. So anyway, so today we're talking about Facebook now Facebook. Well, I was looking at my phone. So this where I was
6:  Or reason as to why and then a reason as to why you're going to get out. Hey, this is a very controversial podcast. You're going to have Curtis. I can't wait process Quantified not I mean that's they never get past the predictions or the opinions are the that's the biggest problem of predicting is the future doesn't exist. And to think that you can figure out what every single person every single Trader an investor in every news source and every politician and and the Federal Reserve and other country. I mean II think that you can you know,  Know what's gonna happen? The future is absolutely absurd because if you did, you know, you would already be completely be a psychic and a billionaire. If you did, you know, that was there you go. Wait a minute. Wait a minute. You're telling me that everybody I love doing that. All right people I work with think I'm the absolute worst because like I do this this is this is not political base. This is not a political podcast. But one of my favorite things to do in life is troll people like in real life. I don't do it online. And so somebody will say did you know Trump did this?
7:  Now, let's take a look at the news from last week. The biggest news was definitely the federal reserve's two-day policy meeting on Tuesday and Wednesday that resulted in them cut in the FED funds rate by a quarter percentage point. This is the first time that the FED is cut interest rates since 2008. So definitely a big deal and the FED is attempting to cushion the US economy from a global slowdown and the continuing tensions from trade talks with China as well as lower than expected inflation.  Another piece of news from last week was Apples announcement of its Q2 results on Tuesday overall earnings beat expectations, but iPhone sales disappointed 2q earnings per share came in at two dollars and 18 cents, which was down 7% year-over-year, but did actually Beat the Street expectation of two dollars and ten cents per share by eight cents strong services and wearables revenue help drive to cue out performance against a declining iPhone Revenue.
8:  That I was looking at my phone. That's why I saw at the NASDAQ was up again. And I was like that's strange why is it up again? And then I saw that Facebook had their earnings and they have well exceeded their expectations for earnings. Now Facebook's earnings are pretty interesting just a couple of quarters ago Facebook Drop Like 25% after earnings. It was a huge huge massive Cliff that they jumped off of today. They're trying to do the opposite. It is up Seventeen dollars in  market trading from the prior close of a hundred fifty is currently trading at 167 which is an 11% move up. That's really strong. And that's actually what I wanted to show you today is how you can calculate your own expected move on any stock in any time frame to get an idea of what could be what could be priced into things. So the first thing that we do is we go into the Facebook options chain, and we'd have to go to the strike from
9:  I have three cars that they're selling that is the model 3 Model S and model X background a little bit of History. They were founded in 2003 by a group of Engineers, which did not include Elon Musk. They're called Tesla Motors during the series a funding. Tesla was joined by Elon Musk. So contrary to popular belief Elon Musk is not the founder. Although he is now the face the CEO the Twitter presence. He's basically 99% of Tesla. That's his like you think you are. Yeah. I mean, he owns a ton of stock to  ooh, so it's really him. He's riding down with this and he is true to form. He is controversial as they come. Yes. All right, before we talk about their earnings and some of their future growth stuff will talk about the valuation just so you get a base. They have a market cap of forty four point nine three billion dollars. They have a ticker symbol of TSLA and a stock price of two hundred fifty eight dollars and sixty six cents. They have no price to earnings as of now since they've only been profitable for well this quarter they weren't problem of the
 
