Topic 1 coronavirus spread: What were people saying about the spread of the novel coronavirus NCOV-19 in Wuhan at the end of 2019?
0: It started.  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.
4:  Is Jim put out the word that they were good and they were not because of the photos and Jan is in the confessional like girl. Who are you? You're not Michelle Obama, you're not that important and I feel like gin definitely wanted support and showing that you know people were at her event. I don't necessarily feel like it had to be, you know, the ladies it could have been it could have been  In Celebrity, but I feel like because they were there it only makes sense to show the photos. So I don't know what was said along with the photos. I don't know if they just posted the photos if they posted a caption saying we having a great time together. I don't know what that was going on. But I mean it's only right for her to post the photos. It was her events. She wanted exposure. I don't think it was a PR stunt on her end. However, we don't know these ladies are sneaky their conniving some of them.
5:  You said what I said, you know, I'm not really into light-skinned man, but I think he actually is attractive. So how Chris is cute. Yeah.  All right, good, you'll turn okay I'm going to do okay. This one should make you have to thank mmm. I bet said Michelle Obama Barack Obama or Michael girl. They don't know I'm thinking about shit because I'm going stir it up a little since I was like four years old. So Michael you can get all of this mash and I'm sorry Obama Obama. I'm sorry.
6:  All right, good, you'll turn okay I'm going to do okay. This one should make you have to thank mmm. I bet said Michelle Obama Barack Obama or Michael girl. They don't know I'm thinking about shit because I'm going stir it up a little since I was like four years old. So Michael you can get all of this mash and I'm sorry Obama Obama. I'm sorry.  I got a rifle in my room. All right Obama, you heard it. He probably do, you know, they'd be listening to the phones and even text you. Okay, so it's my turn celebrities and for my celebrity Truth Hurts Liz. Oh pretty woman.
7:  Off the girls. I should come up with a couple of dudes in a week. She's at home because they people around us. We just want them to be doing something in their life. Otherwise, they're just dragging you down. Yeah, like it's not just the girls. I mean, I don't think they're dragging you down unless you let them well, I got friends that I got friends that aren't really following a like, you know a good like they're not if I get into a relationship right now. I don't want my future to be the only future from both of us as I was saying because it has to work both ways. I mean like yeah, we each had to pull our weight. Yes, I'm saying pull your weight. I mean obviously  Like Goldman and Sachs and we'll just leave it. There we go. We'll just leave it there but show me you can we get into this mess? Aw. It's a bit controversial as hell. Michelle. Obama would not be famous if Obama.
8:  Not become president disagree with you would be famous, but she would be successful. She would have a following the no definitely not but yeah, she's a lawyer she be successful, but she wouldn't have 50 million shape. She is what she is today because Obama became president. Yeah, Michelle Obama, you can say the same about most of the the only the only one I respect though is I don't respect from the windows wife. She skimmed off on him. No. No, but she helped build Amazon though. She took like she helped build Amazon.  60 billion, but she hoped she has cheated on her. I mean we did it.
9:  Sat down and had the chance to interview Jamie liner. She's a good friend of mine and colleague from work and wanted to talk to her a little bit more about her story and one of the highlights, I won't steal her Thunder before we dive in but she did things a little bit different than I did and that's really one of the cool things and one of the reasons I wanted to talk to her. Not just because she has Michelle Obama arms, but I will say if you take a look she definitely has better arms that Michelle Obama not creepy. It's  True. Anyways, I really wanted to bring Jamie on to talk to her more about the ways in which she navigated her life when she came to Charlotte. It's definitely a unique story and completely different and new and it was really exciting to sit down and talk to her talk to her. So without further Ado. Let's hear a little bit more from Jamie.
 
Topic 7 anna delvey: Anna Sorokina moved to New York City in 2013 and posed as wealthy German heiress Anna Delvey.  In 2019 she was convicted of grand larceny, theft, and fraud.  What were people saying about her, the charges, her trial, and New York socialite society in general?
0:  On September 21st 2001 Anna arrived at her office and started work as usual, but at 10:15 a.m. She got a call from a supervisor saying that there was a problem with one of her subordinates. He didn't have time to deal with it. So he needed Anna to come down to the office and take care of it for him. Anna readily complied when she reached the office. However, she didn't find a beleaguered colleague.  Said she found two members of Scott Carmichael's investigative team. She was under arrest like always Anna kept her cool. She claimed her right to remain silent and asked for legal counsel a female officer searched her and then the team led her out of the building in handcuffs. Anna was so quiet that most of her colleagues didn't even look up as she went by
1:  Main producer of this podcast that you're listening to along with senior producer Brian Landers. She is a producer so I get to work with my dear friend and a partner on this labor of love that we call your first million and now I get to interview her I get to have her on the show. So we've already done the interview we did in Munich as I said and it's like super  Super low-key too. So she'd she's German. I mean, I'm just, you know, put that out there queer German girl on Twitter and Instagram. She's Jeremy. So she has this like a lot of Germans have this sort of really even Keel temperament and you don't really know like I'll just talk about Anna so I won't talk so broadly about Germans, but with Anna you don't really know if she's stoked about something and I've learned her her.
2:  Eight putting an end to this risky detour in her career, or she could find a new objective there by re committing herself to a life of crime for some this might have been a tough decision. But Anna barely even hesitated. She knew the US had political objectives for Cuba and considered them a threat to the island sovereignty just like she had for Nicaragua Anna now dedicated her life to protect.  Ting the smaller country from its bullying Northern neighbor in 1992 35 year old Anna was accepted to a program that allowed her to study a project of her choice on the government's dime. She used it as an opportunity to travel legally to Cuba. She spent 12 months in the nation. She was secretly working for on the side in February of 1993 her new expertise earned her yet another
3:  T the nation democratically elected a new president apparently without influence from the US. We don't know for sure if the information that on a provided helped bring about this long-awaited change, but we do know it brought the country's Civil War to an end leaving 33 year old Anna at a major crossroads her Mission as she knew it was now over and that meant she had a choice to make she could either go straight.  Eight putting an end to this risky detour in her career, or she could find a new objective there by re committing herself to a life of crime for some this might have been a tough decision. But Anna barely even hesitated. She knew the US had political objectives for Cuba and considered them a threat to the island sovereignty just like she had for Nicaragua Anna now dedicated her life to protect.
4:  Apart given these qualities and her past Behavior. It's not surprising that on a decided to stay. She later said she didn't want to give up on the people. She was helping but chances are she couldn't bear to think they might be. Alright without her.  On September 21st 2001 Anna arrived at her office and started work as usual, but at 10:15 a.m. She got a call from a supervisor saying that there was a problem with one of her subordinates. He didn't have time to deal with it. So he needed Anna to come down to the office and take care of it for him. Anna readily complied when she reached the office. However, she didn't find a beleaguered colleague.
5:  Super low-key too. So she'd she's German. I mean, I'm just, you know, put that out there queer German girl on Twitter and Instagram. She's Jeremy. So she has this like a lot of Germans have this sort of really even Keel temperament and you don't really know like I'll just talk about Anna so I won't talk so broadly about Germans, but with Anna you don't really know if she's stoked about something and I've learned her her.  Language her body language and her her expression, right? So she says something is good. It's great if she says something is okay. It's pretty good, you know, so she she gets excited or she laughs or something. It's like, oh boy, I've really struck struck gold so, you know listening and yes, I fangirl over her a little bit because she is adorable. What are you gonna do? But you really I mean, I love this one because we talked about we're not talking about
6:  History World War 2 with Ray Harris, jr. Sure and he interviews an author by the name of Robin Hutton about her book animals of War. So Story begins prior to World War Two. Yes. United States military did not have a dog program anything like we always think of like we see, you know, German Shepherds or Belgian Malinois sore, you know like Rottweilers. Yeah. Yep in the military. So yeah actually  Prior to that they didn't but shortly after Pearl Harbor the attack on Pearl Harbor December 7th, 1941 a poodle breeder and New York socialite was like her name was Arlene Erlanger. Thanks. Yeah, no to say so she got together with a bunch of her friends. And one of them was like a writer for the New York sun and a couple people in the American Kennel society and they formed this group called dogs for defense and they were like
7:  Images big Champion, so obviously so you would cap. How come you just added to The Fray for New York, right Champion CD Junior Champion Rico Suave Champion me Champion Sanford Champion. Justin want Champion Chris G champy. We got seven fucking killer. So that represents New York City that actually got a big win. You don't say in terms of like a world championship. So I like that I appreciate that because you know what, we got. We got fucking, you know, if we if we had like a like a stadium  Mm. That was just wealthy. Sorry. Oh, how about shit the bed is on top? Yeah. Just Takin a shit shooting the shit in the Banners are just be up there bro. All the killers that actually one big tournaments in New York City. You know I'm saying which is dope. I mean East Coast in general, you know, I really ride with my coats whether we whack it would be good. I ride out with and I'm saying what I don't write I was with the next but that's that's that's a whole nother story. But um,
8:  All right, this is Anna. My name is Anna and Noah, and I'm a writer composer and actor.  Most of the time and Anna we're going to talk to you today in where are we aware and Munich or as we say me I can say it München you can mention mention. Yeah, very good. We are Muenchen Munich Germany Deutschland. Oh, yeah. Yeah exactly and we're talking to you today because you have reached an interesting Milestone on YouTube you have
9:  Coming up a fellow analysts hunch leads to suspicions that Anna is working for the enemy.  Thank you so much for listening. We want to take this time to tell you that female criminals will be taking the next two weeks off. We'll be back with a brand new episode on January 8th. In the meantime. We do have a special gift to share with you while we're away will be airing our listeners most requested episodes of 2019. If you'd like to check out the most requested episodes from park has other shows subscribe to par cast presents to hear our best.
 
Topic 8 facebook stock prediction: After Facebook’s Q4 2018 earnings call, what were experts’ predictions and expectations for its stock price in 2019?  How did these predictions fare over time?  Relevant material would include predictions immediately following the Jan 29, 2019, earnings call, and later actual stock performance that could be used to evaluate predictions.
0:  But then after that his first title defense is going to be against Conor McGregor. So that's my prediction. Obviously for that Connor has to get through those other fights I mentioned or at least the cowboy one which is which is a tall task in and of itself, but that's my prediction and that's all I got for you.  For those bold predictions if you will.
1:  predictions for 2020 well  my first and only MMA related prediction in terms of fighting is that I believe is Conor McGregor make it t cared for the first time in the UFC now don't believe this will happen against Cerrone in a culturally time, but I do believe this may happen against
2:  my first and only MMA related prediction in terms of fighting is that I believe is Conor McGregor make it t cared for the first time in the UFC now don't believe this will happen against Cerrone in a culturally time, but I do believe this may happen against  Hallway or Kamara if those fights do materialize which I hope they don't has plenty of other ways to deserve that title fight cock off Leon Edwards above him. So that is my prediction for the 2020s not very wild. But you know, it would be great to see unless you are gonna stand of course now my other prediction is that I'll be going to my first MMA event once a tickets go on sale for you've seen London and Beyond to that live now if anyone's going for
3:  That was Hayden. I'm just going to made by the way some really bold predictions. There can't said I want all of them to be true, but I definitely like I started off with Peter Young kicking the shit out of Henry cejudo kicking the dog shit out of him love that.  All right, here we go. This is Jake again. Jake coming with a lot of predictions.
4:  She was a boy.  You won't my predictions for 2020 you come?
5:  Hey Juicy, Juice Man Of Mayhem here. Happy New Year to you. But how about this for a bold prediction Wonder Boy Stephen Thompson gets called in as a late replacement for a Welterweight Title bout. He wins 2020 Wonderboy Welterweight Champion. You heard it here first. See you later juice.  Oh, I like that. It's kind of in line with with Hayden's prediction and I like it. I like where this is going. Keep it bold. Keep it fresh. Keep it interesting. So like a fucking ad for Subway or something, but shouts the Fabian Man Of Mayhem great guy.
6:  Hey there, Tim and Traders and welcome back to the how to trade stocks and options podcast where we give you the tools tips and tricks to help you trade faster and trade smarter. I'm your host Chris for you'll photo on the top 100 people in finance for 2019. And today we're going to be focusing on Facebook earnings now Facebook. Actually, I was looking at my phone this morning and I saw at the NASDAQ was up again after two trail yesterday with apple and the fed the FED essentially saying that they are going to be holding rates steady.  And that they will continue easy monetary policies, which the stock market likes. So the stock market after that kind of exploded upward and then Apple earnings yesterday exceeded expectations on price, even though the top and bottom line results were both below expectations. So you never can tell how the earnings report will impact the stock price. So anyway, so today we're talking about Facebook now Facebook. Well, I was looking at my phone. So this where I was
7:  Does of course and how does that impact the stock to flow model and maybe your prediction so I did the analysis I implemented for different ways of adjusting for lost coins. The original way was to just ignore the first million coins so-called Satoshi coins. We don't know of course if those were still she coins, but that's that's the narrative and well those coins haven't moved. So so let's let's  do as if they are lost. So that's one approach then I did the no adjustment approach. So in leave those 1 million in there, I did a gradual loss scenario. So we're sort of about 4 million lost coins rattle around around now 2019. So that's about what is it 30-something percent.
8:  But yeah.  First first Bowl prediction for 2020 and this is coming up real soon dude. It's coming up real soon.
9:  And wow, we got some amazing predictions from my man raging sweet potato. Can't wait to read these.  He says my bold predictions for 2020 smoke a j and Ali Rah do what a weedless Wednesday realize that they don't actually like it anymore and Go full straight edge becoming Instagram Health and Wellness in floors influencers focusing on perennials stunning. I say do a lot will swing wildly to the left realize the word dude is a tool of the patriarchy and Go full on sjw championing for the right to identify as a vampire.
 
