Topic 1 coronavirus spread: What were people saying about the spread of the novel coronavirus NCOV-19 in Wuhan at the end of 2019?
0: It started.  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.
4:  Is Jim put out the word that they were good and they were not because of the photos and Jan is in the confessional like girl. Who are you? You're not Michelle Obama, you're not that important and I feel like gin definitely wanted support and showing that you know people were at her event. I don't necessarily feel like it had to be, you know, the ladies it could have been it could have been  In Celebrity, but I feel like because they were there it only makes sense to show the photos. So I don't know what was said along with the photos. I don't know if they just posted the photos if they posted a caption saying we having a great time together. I don't know what that was going on. But I mean it's only right for her to post the photos. It was her events. She wanted exposure. I don't think it was a PR stunt on her end. However, we don't know these ladies are sneaky their conniving some of them.
5:  You said what I said, you know, I'm not really into light-skinned man, but I think he actually is attractive. So how Chris is cute. Yeah.  All right, good, you'll turn okay I'm going to do okay. This one should make you have to thank mmm. I bet said Michelle Obama Barack Obama or Michael girl. They don't know I'm thinking about shit because I'm going stir it up a little since I was like four years old. So Michael you can get all of this mash and I'm sorry Obama Obama. I'm sorry.
6:  All right, good, you'll turn okay I'm going to do okay. This one should make you have to thank mmm. I bet said Michelle Obama Barack Obama or Michael girl. They don't know I'm thinking about shit because I'm going stir it up a little since I was like four years old. So Michael you can get all of this mash and I'm sorry Obama Obama. I'm sorry.  I got a rifle in my room. All right Obama, you heard it. He probably do, you know, they'd be listening to the phones and even text you. Okay, so it's my turn celebrities and for my celebrity Truth Hurts Liz. Oh pretty woman.
7:  Not become president disagree with you would be famous, but she would be successful. She would have a following the no definitely not but yeah, she's a lawyer she be successful, but she wouldn't have 50 million shape. She is what she is today because Obama became president. Yeah, Michelle Obama, you can say the same about most of the the only the only one I respect though is I don't respect from the windows wife. She skimmed off on him. No. No, but she helped build Amazon though. She took like she helped build Amazon.  60 billion, but she hoped she has cheated on her. I mean we did it.
8:  Off the girls. I should come up with a couple of dudes in a week. She's at home because they people around us. We just want them to be doing something in their life. Otherwise, they're just dragging you down. Yeah, like it's not just the girls. I mean, I don't think they're dragging you down unless you let them well, I got friends that I got friends that aren't really following a like, you know a good like they're not if I get into a relationship right now. I don't want my future to be the only future from both of us as I was saying because it has to work both ways. I mean like yeah, we each had to pull our weight. Yes, I'm saying pull your weight. I mean obviously  Like Goldman and Sachs and we'll just leave it. There we go. We'll just leave it there but show me you can we get into this mess? Aw. It's a bit controversial as hell. Michelle. Obama would not be famous if Obama.
9:  Sat down and had the chance to interview Jamie liner. She's a good friend of mine and colleague from work and wanted to talk to her a little bit more about her story and one of the highlights, I won't steal her Thunder before we dive in but she did things a little bit different than I did and that's really one of the cool things and one of the reasons I wanted to talk to her. Not just because she has Michelle Obama arms, but I will say if you take a look she definitely has better arms that Michelle Obama not creepy. It's  True. Anyways, I really wanted to bring Jamie on to talk to her more about the ways in which she navigated her life when she came to Charlotte. It's definitely a unique story and completely different and new and it was really exciting to sit down and talk to her talk to her. So without further Ado. Let's hear a little bit more from Jamie.
 
Topic 7 anna delvey: Anna Sorokina moved to New York City in 2013 and posed as wealthy German heiress Anna Delvey.  In 2019 she was convicted of grand larceny, theft, and fraud.  What were people saying about her, the charges, her trial, and New York socialite society in general?
0:  On September 21st 2001 Anna arrived at her office and started work as usual, but at 10:15 a.m. She got a call from a supervisor saying that there was a problem with one of her subordinates. He didn't have time to deal with it. So he needed Anna to come down to the office and take care of it for him. Anna readily complied when she reached the office. However, she didn't find a beleaguered colleague.  Said she found two members of Scott Carmichael's investigative team. She was under arrest like always Anna kept her cool. She claimed her right to remain silent and asked for legal counsel a female officer searched her and then the team led her out of the building in handcuffs. Anna was so quiet that most of her colleagues didn't even look up as she went by
1:  Eight putting an end to this risky detour in her career, or she could find a new objective there by re committing herself to a life of crime for some this might have been a tough decision. But Anna barely even hesitated. She knew the US had political objectives for Cuba and considered them a threat to the island sovereignty just like she had for Nicaragua Anna now dedicated her life to protect.  Ting the smaller country from its bullying Northern neighbor in 1992 35 year old Anna was accepted to a program that allowed her to study a project of her choice on the government's dime. She used it as an opportunity to travel legally to Cuba. She spent 12 months in the nation. She was secretly working for on the side in February of 1993 her new expertise earned her yet another
2:  Apart given these qualities and her past Behavior. It's not surprising that on a decided to stay. She later said she didn't want to give up on the people. She was helping but chances are she couldn't bear to think they might be. Alright without her.  On September 21st 2001 Anna arrived at her office and started work as usual, but at 10:15 a.m. She got a call from a supervisor saying that there was a problem with one of her subordinates. He didn't have time to deal with it. So he needed Anna to come down to the office and take care of it for him. Anna readily complied when she reached the office. However, she didn't find a beleaguered colleague.
3:  T the nation democratically elected a new president apparently without influence from the US. We don't know for sure if the information that on a provided helped bring about this long-awaited change, but we do know it brought the country's Civil War to an end leaving 33 year old Anna at a major crossroads her Mission as she knew it was now over and that meant she had a choice to make she could either go straight.  Eight putting an end to this risky detour in her career, or she could find a new objective there by re committing herself to a life of crime for some this might have been a tough decision. But Anna barely even hesitated. She knew the US had political objectives for Cuba and considered them a threat to the island sovereignty just like she had for Nicaragua Anna now dedicated her life to protect.
4:  Main producer of this podcast that you're listening to along with senior producer Brian Landers. She is a producer so I get to work with my dear friend and a partner on this labor of love that we call your first million and now I get to interview her I get to have her on the show. So we've already done the interview we did in Munich as I said and it's like super  Super low-key too. So she'd she's German. I mean, I'm just, you know, put that out there queer German girl on Twitter and Instagram. She's Jeremy. So she has this like a lot of Germans have this sort of really even Keel temperament and you don't really know like I'll just talk about Anna so I won't talk so broadly about Germans, but with Anna you don't really know if she's stoked about something and I've learned her her.
5:  History World War 2 with Ray Harris, jr. Sure and he interviews an author by the name of Robin Hutton about her book animals of War. So Story begins prior to World War Two. Yes. United States military did not have a dog program anything like we always think of like we see, you know, German Shepherds or Belgian Malinois sore, you know like Rottweilers. Yeah. Yep in the military. So yeah actually  Prior to that they didn't but shortly after Pearl Harbor the attack on Pearl Harbor December 7th, 1941 a poodle breeder and New York socialite was like her name was Arlene Erlanger. Thanks. Yeah, no to say so she got together with a bunch of her friends. And one of them was like a writer for the New York sun and a couple people in the American Kennel society and they formed this group called dogs for defense and they were like
6:  Super low-key too. So she'd she's German. I mean, I'm just, you know, put that out there queer German girl on Twitter and Instagram. She's Jeremy. So she has this like a lot of Germans have this sort of really even Keel temperament and you don't really know like I'll just talk about Anna so I won't talk so broadly about Germans, but with Anna you don't really know if she's stoked about something and I've learned her her.  Language her body language and her her expression, right? So she says something is good. It's great if she says something is okay. It's pretty good, you know, so she she gets excited or she laughs or something. It's like, oh boy, I've really struck struck gold so, you know listening and yes, I fangirl over her a little bit because she is adorable. What are you gonna do? But you really I mean, I love this one because we talked about we're not talking about
7:  All right, this is Anna. My name is Anna and Noah, and I'm a writer composer and actor.  Most of the time and Anna we're going to talk to you today in where are we aware and Munich or as we say me I can say it München you can mention mention. Yeah, very good. We are Muenchen Munich Germany Deutschland. Oh, yeah. Yeah exactly and we're talking to you today because you have reached an interesting Milestone on YouTube you have
8:  yes, she went on with Anna. I just didn't completely by that. He was really looking out for Anna's well-being because one of the couple's that's been in each strong. Yes. They've been in the bottom three is now disbanded that the back of my head. I was thinking you've never shown as far as we've seen this sort of loyalty to Anna and I really care I really care about that girl know there's some like and and if I have to hear him say you're talkin your jaw talking. She says it all.  I feel like we get it. You don't set book. Yeah, Curtis teachers are fucking no doubt. She deserves to give him that but I just didn't buy completely that what water was saying was culture and I've seen a line loads of people saying more is safe to show and we've both said that time she's been brilliant TV. She really has been brilliant but as the sort of squeaky bum time comes in and the checks are about to be written day that your seems a little bit of game played in my eyes. She's absolutely a game player. I'm going to put it right out.
9:  Of Injustice in the eyes of many this is exactly what makes Ana Montes such a dangerous criminal more than 15 years have passed since she was escorting to a federal prison, but Anna has yet to express remorse for betraying her country. She scheduled for release in 2023 as for what Anna will do with her Freedom only time and very close.  Servation will tell.
 
Topic 8 facebook stock prediction: After Facebook’s Q4 2018 earnings call, what were experts’ predictions and expectations for its stock price in 2019?  How did these predictions fare over time?  Relevant material would include predictions immediately following the Jan 29, 2019, earnings call, and later actual stock performance that could be used to evaluate predictions.
0:  Learn and measuring it within his perception of outcomes. I think that's why I'm sorry. Sorry, I'll be after you. I was going to say my advice to a young investor would be get an investment Journal going right down your not only your predictions about like, oh, I think I'm going to make money here, but write down your predictions about the business itself and keep score for yourself. I think that's you have to close that feedback loop to  To really start learning about yourself about what you understand about how the world is when it throws you curveballs and what you can learn from them. You have to get the Reps in but I think you can learn much faster if you keep score and I unfortunately, I don't think that that's actually a common practice because it takes a little bit of work and it's annoying to do that. So start a blog do it publicly.
1:  I mean there's there's a lot of different ways that he sees the world as Google. So going off to ADT. Well, like they're doing all these home. Yeah, it doesn't actually well all of them are commonly. That's sort of the theory. I mean alarm.com is a cool company that sort of monitors a lot of your home stuff and then what else he'll take a swing on a biotech like that guy sees, I think he's very good in general at seeing risk and  Learn and measuring it within his perception of outcomes. I think that's why I'm sorry. Sorry, I'll be after you. I was going to say my advice to a young investor would be get an investment Journal going right down your not only your predictions about like, oh, I think I'm going to make money here, but write down your predictions about the business itself and keep score for yourself. I think that's you have to close that feedback loop to
2:  Another time so they were correct 70% They thought that they would be right 19 percent. So pretty good calibration there then they gave them any 10 piece of information. They want any 20 pieces all the way up to any 40 pieces of information that they wanted on these horses. And so what do you think happened? I know the answer to this story, but you would think that the more information they had the better their predictions got all right, right. So what?  Happened was the the performance plateaued at 17% But they're the belief that they thought they would be right skyrocketed all the way up to about like 36 or 38 percent and because of that they're betting heavier, and they actually had the worst performance with the with the additional information because of their confirmation bias that led to them getting heavier when they would have been able to make better decisions with less information.
3:  Does of course and how does that impact the stock to flow model and maybe your prediction so I did the analysis I implemented for different ways of adjusting for lost coins. The original way was to just ignore the first million coins so-called Satoshi coins. We don't know of course if those were still she coins, but that's that's the narrative and well those coins haven't moved. So so let's let's  do as if they are lost. So that's one approach then I did the no adjustment approach. So in leave those 1 million in there, I did a gradual loss scenario. So we're sort of about 4 million lost coins rattle around around now 2019. So that's about what is it 30-something percent.
4:  Great to get feedback and especially from guys like like juror who are in the space for almost from the beginning. So and that's also why I put everything on Twitter and GitHub to get the feedback to learn. So yeah, I appreciate his for concerns very much and let's go through them. Yeah the Lost coins. That is a question. That's asked more. How does that impact the the stock?  Does of course and how does that impact the stock to flow model and maybe your prediction so I did the analysis I implemented for different ways of adjusting for lost coins. The original way was to just ignore the first million coins so-called Satoshi coins. We don't know of course if those were still she coins, but that's that's the narrative and well those coins haven't moved. So so let's let's
5:  point which is  I think that the ETF model for cannabis is sort of over originally you could maybe buy a little bit of everything and everything kind of went up together and went down together. Right? So it was like you're sort of spread out over the sector the sector does. Well you do. Well, right. This will go into sort of the next episode which is about predictions going forward, but you're going to start to see the separation now from the winners from the losers in the markets from the good markets in the bad markets, so
6:  It's not necessary a race to the bottom, but it means that if you want to be a new entrant into the mark and you can make a splash you can come and drop your prices and that forces the hand of companies like steel and chewed they need to go out and match it. So it can be these sorts of things do happen in this sort of market and the company also hints at some write-offs that they're saying that and another update will be provided with a half your results and February 2022 next year.  And a canteen carrying values will be reassessed at that time. So I think there's a good chance that they'll be writing or some Goodwill in February. That's that's a prediction for you. I think it was a dollar seventy s year. They rejected in an offer from Fletcher building that that's about a hundred fifty million and Market difference from where the stock was trading at now and that and the management said that there was undervalued. So I think I said at the time that it would be
7:  One of the quotes are I guess two of the quotes that I had highlighted here and I'm looking at chapter 7 a reactive Trader is looking for confirmation and a predictive Trader is just guessing and then the next paragraph over Steve says the bottom line is that if you want to be a successful Trader, there must be a reason for everything you do based on price action and charts and really that's all you need to know don't just willy-nilly buy stocks. Don't just sell options. Don't just buy options. You have to have an actual.  Or reason as to why and then a reason as to why you're going to get out. Hey, this is a very controversial podcast. You're going to have Curtis. I can't wait process Quantified not I mean that's they never get past the predictions or the opinions are the that's the biggest problem of predicting is the future doesn't exist. And to think that you can figure out what every single person every single Trader an investor in every news source and every politician and and the Federal Reserve and other country. I mean II think that you can you know,
8:  I think that the ETF model for cannabis is sort of over originally you could maybe buy a little bit of everything and everything kind of went up together and went down together. Right? So it was like you're sort of spread out over the sector the sector does. Well you do. Well, right. This will go into sort of the next episode which is about predictions going forward, but you're going to start to see the separation now from the winners from the losers in the markets from the good markets in the bad markets, so  It's not so much about owning everything now and trying to ride the wave it's really about.
9:  And a canteen carrying values will be reassessed at that time. So I think there's a good chance that they'll be writing or some Goodwill in February. That's that's a prediction for you. I think it was a dollar seventy s year. They rejected in an offer from Fletcher building that that's about a hundred fifty million and Market difference from where the stock was trading at now and that and the management said that there was undervalued. So I think I said at the time that it would be  interesting to see if that if that fob off off pitcher building was a good thing little find out we had the first ever annual report for Port of Napier released during the week our well at least their first ever annual report in its life as a public company and they've gone next live on the pictures. It's quite impressive the reporters a hundred eight pages long, which is a pretty long in your report from New Zealand of that. I would say especially reasonably simple coming important Napier. I was there I would say around 50%
 
